RACE,DISTANCE,SURFACE,Angles,PROGRAM,PP,Solley4,Top2,HORSE_NAME,AXCIS_ODDS,,,POWER,HI_SPD_SD,Avg Sd,SPEED_L3,CL,PACER,PACER_ALL,DAYS,WODAYSAGO,LAST_WORK,L2Y_S123,R1,R2,LT_MUD,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,TRAINNAME,TRAINNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME
6,6.5,D,yRl1lAcRl, 4,51,300,4,SUMMONING DENIS,12/1,,,34.4, 42, 38 42, 38  42  30,, 5.7  7.1  7.1  1, 6.6  7.1  7.5  5, 32, 49  55 291, 4D(FT)CT : 52.4B,5-0-0-0, 32 4.5D 63/ 38: 7-7.3,221 4.5D 61/ 42: 8- 10,  0- 0- 0- 0,"BOCACHICA, ABN","PETTY, KRISTY"
6,6.5,D,yRl1lAcRl,10,30,30,2,DISCREET LOVE,15/1,,,27, 12, 12 12, 12,, 8.9  8.8  7.5  1, 8.9  8.8  7.5  1, 26, 34  41  48, 4D(FT)CT : 50.6B,1-0-0-0, 26  7 D 54/ 12: 6- 22,,  0- 0- 0- 0,"HIRALDO, CHRIS","GREAVES, VERNO"
6,6.5,D,yRl1lAcRl, 5,27,180,2,LAST OF BAD BOYS,20/1,,,26.6, 17, 24 17, 17  34  22,, 6.7  7.8  8.9  1, 7.7  7.8  8.2  3, 55,  5  22  33, 4D(FT)CT : 49.0B,3-0-0-0, 55 6.5D 64/ 17: 8- 21, 74 4.5D 56/ 34: 7- 13,  1- 0- 0- 0,"NUNEZ, JUAN","HAMLIN, KATHLE"
6,6.5,D,yRl1lAcRl, 2,10,0,2,DON'T GET CAUGHTUP,15/1,,,0, 33, 24 25, 32  10  32,, 6.7  7.3  8.0  6, 6.9  7.3  8.0  7, 26, 47  75 133, 4D(FT)CT : 50.6B,7-0-0-0, 26  7 D 54/ 32: 5- 12, 88  7 D 59/ 10: 8- 25,  2- 0- 0- 0,"ACOSTA, J","BOYKINS, KEVIN"
6,6.5,D,Rl1lJtAcRl, 7,6,0,2,JOOBY DOOBY DOO, 3/1,,,0, NA, NA NA,,,,,, 22  32  41, 3D(FT)CT : 36.0B,0-0-0-0,,,  0- 0- 0- 0,"CONCEPCION, AX","BROWN, RONNEY"
7,6.5,D,yRl1lJtAcRl, 5,82,60,4,KELSEY'S ANGEL, 8/1,,,45.9, 58, 40 58, 58  42  17,, 3.3  3.3  1.1  1, 4.8  5.2  4.0  6, 26,117 124 143, 4D(FT)CT : 50.0B,6-1-2-0, 26 6.5D 61/ 58: 1-0.5, 41 4.5D 57/ 42: 2-3.8,  2- 0- 0- 0,"BOCACHICA, ARN","FARRIOR, ANTHO"
7,6.5,D,yRl1lJtAcRlXm, 6,82,150,5,BEST VIRGINIA, 9/2,,,61.2, 65, 46 48, 65  49  56,, 3.4  3.1  3.7  8, 3.9  3.1  4.1  9, 61,  4  20 109, 4D(FT)CT : 49.0B,9-3-1-1, 61 6.5D 60/ 65: 1-1.8, 83  7 D 60/ 49: 2-2.8,  3- 2- 0- 0,"HO, WESLEY","CONTRERAS, JAV"
7,6.5,D,yRlO11lJtAcRl, 8,78,460,5,RIVER REWARDS RVF, 6/1,,,63, 72, 57 56, 59  60  69,, 2.5  2.2  4.7 10, 3.1  2.3  4.6 10, 34, 74 145 153, 3D(FT)CT : 36.6B,12-2-2-1, 34 6.5D 73/ 59: 5- 11, 46 6.5D 69/ 60: 5-4.3,  3- 0- 0- 0,"CONCEPCION, AX","BROWN, RONNEY"
7,6.5,D,yRlBh1lAcRl, 2,68,160,7,LADRO DI FICHI, 7/2,,,65.4, 77, 62 63, 63  48  64,, 4.8  4.3  3.8 10, 4.9  4.3  4.2 10, 25, 59  96 115, 4D(FT)LRL: 49.6B,15-1-6-4, 25  7 D 75/ 63: 4-5.8, 37  6 D 69/ 48: 4-9.6,  3- 0- 1- 0,"ACOSTA, J","FARRIOR, ANTHO"
7,6.5,D,yRlO1C41lAcRlFb, 7,59,320,3,WINDSOR'S PLAY, 8/1,,,57.5, 68, 57 58, 43  65  51,, 1.7  2.0  5.7  4, 2.7  2.7  5.2 10, 16,118 182 405, 4D(FT)CT : 48.3B,21-2-4-0, 16  5 D 68/ 43: 5- 14, 47 4.5D 65/ 65: 1-1.5,  5- 0- 1- 0,"RAMGEET, ANDRE","RIDEOUTTII, AN"
7,6.5,D,yRl1lJtAcRlFb, 3,57,110,3,CEDAR'S WISH,12/1,,,55.3, 72, 59 62, 50  46  60,, 2.0  2.4  5.0 10, 5.7  1.0  4.3 10, 39, 76 118 523, 3D(FT)CT : 37.4B,22-4-2-4, 39 4.5D 69/ 50: 7-8.8, 67 4.5D 67/ 46: 1- hd,  6- 2- 0- 2,"MONTANO, JOSE","GRAMS, TIMOTHY"
7,6.5,D,yRlGl1lAcRlXmFb,11,43,240,2,MY SISTER PAM, 8/1,,,49.4, 63, 48 48, 62  51  46,, 6.4  5.6  4.5 10, 6.4  5.6  4.5 10, 19, 43 109 144, 4D(FT)CT : 49.8B,16-3-1-2, 19  7 D 60/ 62: 1-1.0, 61 6.5D 60/ 51: 4-6.8,  4- 1- 1- 0,"NUNEZ, JUAN","CONTRERAS, JAV"
7,6.5,D,yRlC41lJtAcRlXmFb,10,30,-30,2,MISS LAUREN, 6/1,,,59, 67, 56 56, 60   -  64,, 6.2  6.1  5.3 10, 6.2  6.1  5.3 10, 34, 60  96 135, 3D(FT)CT : 35.6B,12-3-0-1, 34 6.5D 73/ 60: 4- 11, 41  7 D 72/  -: 9-100,  2- 2- 0- 0,"LOPEZ, CARLOS","GRAMS, TIMOTHY"
